num,Hc1zero,Hc2zero,Tc,b300,cohere,curiet,dHc2dt,debyet,dens,dtcdp,element,g300,gamma,gap,gapene,gapmeth,isoel,isotope,lata,latb,latc,moment,nHc1zero,nHc2zero,ncohere,ndHc2dto,neelt,npenet,pHc1zero,pHc2zero,pcohere,pdHc2dto,penet,ppenet,rh300,rh300n,rh300p,spheat,spjump,str3,thc300,tp300,tp300p,uHc1,uHc2,ub,ucohere,udHc2dt,udtcdp,ug,ugamma,ugap,uhall,ujump,umoment,upenet,uthc,utp,uye,ye300
61,,,92.0,,,,,,,,Y1.2Ba1.8Cu2O7-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
62,,,80.0,,,,,,,,Y0.8Ba1.2Cu1O4-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,85.0,,,,,,,,Nd0.4Ba0.6Cu1OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,8.0,,,,,,,,Eu0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,13.0,,,,,,,,Gd0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,91.0,,,,,,,,Dy0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,94.0,,,,,,,,Ho0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,93.0,,,,,,,,Er0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,93.0,,,,,,,,Tm0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,91.0,,,,,,,,Lu0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,La1Ba2Cu3OX,,,,,,,,3.923,,11.78,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,Pr2Ba3Cu5OX,,,,,,,,3.904,,11.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,18.0,,,,,,,,Nd2Ba3Cu5OX,,,,,,,,3.891,,11.677999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,43.0,,,,,,,,Sm1Ba2Cu3OX,,,,,,,,3.9010000000000002,,11.81,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
