,fit num,MSE,R2,unc. Tc,epsilon,penalty,data set,par0,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44,par45,par46,par47,par48,par49,par50,par51,par52,par53,par54,par55,par56,par57,par58,par59,par60,par61,par62,par63,par64,par65,par66,par67,par68,par69,par70,par71,par72,par73,par74,par75,par76,par77,par78,par79,par80,par81
15,5,0.06950757648311279,-1.0117962260536375,48.77393571503672,0.1,1,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5,0.06779812005813057,-1.0002089517060035,48.17043345237324,0.1,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5,0.06989199515336618,-1.025486772262381,48.90862433276934,0.1,1,eval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6,0.009171213348449728,0.7345525000828279,17.716793639106708,0.1,0.1,train,0.1894676591116774,-0.04906810420009477,0.17121365089549798,-0.2586538448204054,-0.11144631180210583,0.22267588294116894,-0.06424317257445057,-0.013681156386755178,0.05865973164136704,-0.0003961237837612281,-0.04891661314150707,0.01867716686507495,0.083985849686956,-0.011795600621328433,-0.07036653887661934,0.029646390854973843,-0.14991947633616512,0.09361513485632328,0.14878798451067743,0.036091594594183124,-0.15192279405392908,-0.039894276520826256,0.01984863150142246,0.37468419454420626,-0.058088334163848974,-0.3813840364062057,0.08605003095991363,0.1022665379612565,0.07658180797809216,-0.017138683033422385,-0.09071731218758847,0.00041616401198577545,-0.08311210956897501,0.027334531490209847,0.0351008287851922,0.014066836602681414,0.039480679804784695,-0.04469578257952099,-0.040741246700953165,-0.005560310377794424,0.052899104634953224,-0.012700767173926306,-0.041230319422835816,0.10603405854857513,0.04057679459473616,-0.10287717822332328,0.015919229976213336,-0.035108839283665066,-0.13221218016945932,-0.031647085473623375,0.1652273548367878,-0.053455585732213984,0.12869963051750527,-0.14714939706420685,-0.10392313388996786,0.1197953058090535,-0.04611133022275119,0.056170891973134726,-0.04233262612122001,0.026947929195028118,-0.04381319121075223,0.04114374920409725,0.0020216421748212856,0.11862996598330967,-0.030337289080434753,-0.039679870948043566,0.01705784960532316,0.0031801565499985254,-0.07355777753722956,-0.06753721552114417,0.08140264571572528,-0.0006041786650932571,-0.1567949782712683,0.22502544791083803,0.16559435414192686,-0.24113510317471393,0.13380610068042473,-0.11637534988246166,0.01669371333788679,0.0051107964968509995,0.04840197984032097,-0.08156627071592462
19,6,0.00942764012463575,0.7218617543585162,17.962766581617057,0.1,0.1,test,0.1894676591116774,-0.04906810420009477,0.17121365089549798,-0.2586538448204054,-0.11144631180210583,0.22267588294116894,-0.06424317257445057,-0.013681156386755178,0.05865973164136704,-0.0003961237837612281,-0.04891661314150707,0.01867716686507495,0.083985849686956,-0.011795600621328433,-0.07036653887661934,0.029646390854973843,-0.14991947633616512,0.09361513485632328,0.14878798451067743,0.036091594594183124,-0.15192279405392908,-0.039894276520826256,0.01984863150142246,0.37468419454420626,-0.058088334163848974,-0.3813840364062057,0.08605003095991363,0.1022665379612565,0.07658180797809216,-0.017138683033422385,-0.09071731218758847,0.00041616401198577545,-0.08311210956897501,0.027334531490209847,0.0351008287851922,0.014066836602681414,0.039480679804784695,-0.04469578257952099,-0.040741246700953165,-0.005560310377794424,0.052899104634953224,-0.012700767173926306,-0.041230319422835816,0.10603405854857513,0.04057679459473616,-0.10287717822332328,0.015919229976213336,-0.035108839283665066,-0.13221218016945932,-0.031647085473623375,0.1652273548367878,-0.053455585732213984,0.12869963051750527,-0.14714939706420685,-0.10392313388996786,0.1197953058090535,-0.04611133022275119,0.056170891973134726,-0.04233262612122001,0.026947929195028118,-0.04381319121075223,0.04114374920409725,0.0020216421748212856,0.11862996598330967,-0.030337289080434753,-0.039679870948043566,0.01705784960532316,0.0031801565499985254,-0.07355777753722956,-0.06753721552114417,0.08140264571572528,-0.0006041786650932571,-0.1567949782712683,0.22502544791083803,0.16559435414192686,-0.24113510317471393,0.13380610068042473,-0.11637534988246166,0.01669371333788679,0.0051107964968509995,0.04840197984032097,-0.08156627071592462
20,6,0.009380491675221697,0.7281511028010217,17.91779360257458,0.1,0.1,eval,0.1894676591116774,-0.04906810420009477,0.17121365089549798,-0.2586538448204054,-0.11144631180210583,0.22267588294116894,-0.06424317257445057,-0.013681156386755178,0.05865973164136704,-0.0003961237837612281,-0.04891661314150707,0.01867716686507495,0.083985849686956,-0.011795600621328433,-0.07036653887661934,0.029646390854973843,-0.14991947633616512,0.09361513485632328,0.14878798451067743,0.036091594594183124,-0.15192279405392908,-0.039894276520826256,0.01984863150142246,0.37468419454420626,-0.058088334163848974,-0.3813840364062057,0.08605003095991363,0.1022665379612565,0.07658180797809216,-0.017138683033422385,-0.09071731218758847,0.00041616401198577545,-0.08311210956897501,0.027334531490209847,0.0351008287851922,0.014066836602681414,0.039480679804784695,-0.04469578257952099,-0.040741246700953165,-0.005560310377794424,0.052899104634953224,-0.012700767173926306,-0.041230319422835816,0.10603405854857513,0.04057679459473616,-0.10287717822332328,0.015919229976213336,-0.035108839283665066,-0.13221218016945932,-0.031647085473623375,0.1652273548367878,-0.053455585732213984,0.12869963051750527,-0.14714939706420685,-0.10392313388996786,0.1197953058090535,-0.04611133022275119,0.056170891973134726,-0.04233262612122001,0.026947929195028118,-0.04381319121075223,0.04114374920409725,0.0020216421748212856,0.11862996598330967,-0.030337289080434753,-0.039679870948043566,0.01705784960532316,0.0031801565499985254,-0.07355777753722956,-0.06753721552114417,0.08140264571572528,-0.0006041786650932571,-0.1567949782712683,0.22502544791083803,0.16559435414192686,-0.24113510317471393,0.13380610068042473,-0.11637534988246166,0.01669371333788679,0.0051107964968509995,0.04840197984032097,-0.08156627071592462
21,7,0.009357047035942336,0.7291738128937834,17.895388646383918,0.1,0.01,train,0.19254076510712162,-0.036031605712274525,0.08208013281821001,-0.06749288835095422,-0.06346359895332389,0.06301595588336573,-0.0714400346909068,0.042312671274306164,0.08998548261039399,-7.813022842751113e-05,-0.07217195662445751,-0.004871242939364112,-0.048269369639742876,0.001662437658299485,0.04080138866676789,0.013423271420873049,-0.19171380656139636,0.07039742997271307,0.11532691999461006,0.01648774393805385,-0.0821729719984391,-0.03223541495332809,-0.020668724021731717,0.4554978086735717,-0.0066439985590094515,-0.5079610158177165,0.08310323313013847,0.06531264007723707,0.05224738378594357,-0.011201693753374911,-0.0443600987908844,-0.03886698598737262,-0.07877679292780573,0.00233186123886842,0.05535964488728858,0.02097868997290753,0.046615706806310366,-0.04571456478007989,-0.03378961111947531,-0.0017498839966215622,0.05483945123702748,-0.011818573239026681,-0.007554105311834252,0.09020095186147903,0.02030432244514548,-0.09336526318352464,0.009129233825227552,-0.038505873829769596,-0.13249266219578062,-0.025389394790403665,0.15409669101812157,-0.05827202120809454,0.05876698198732658,-0.10403609546613696,-0.053622123500653554,0.09252097793289304,-0.04372798174721756,0.047983343865089574,-0.04941742866462464,0.02662866959613321,0.003192815634029839,0.015469380018515924,-0.01789660287834767,0.13630698257975962,6.15991593002668e-05,-0.09281836008843601,0.0189790607480157,0.0074398302078559275,-0.12250091086174,-0.0375922211378793,0.11854928183449563,0.006227594405828982,0.029877993582481464,0.00989612633094709,0.0003113329890923826,-0.04877761256440437,0.18401910302011168,-0.12483625444234601,0.0390550922923498,0.0010673746972574226,-0.002496780181538575,-0.0437051721022754
22,7,0.009493750219056333,0.7199113462565689,18.02563733262164,0.1,0.01,test,0.19254076510712162,-0.036031605712274525,0.08208013281821001,-0.06749288835095422,-0.06346359895332389,0.06301595588336573,-0.0714400346909068,0.042312671274306164,0.08998548261039399,-7.813022842751113e-05,-0.07217195662445751,-0.004871242939364112,-0.048269369639742876,0.001662437658299485,0.04080138866676789,0.013423271420873049,-0.19171380656139636,0.07039742997271307,0.11532691999461006,0.01648774393805385,-0.0821729719984391,-0.03223541495332809,-0.020668724021731717,0.4554978086735717,-0.0066439985590094515,-0.5079610158177165,0.08310323313013847,0.06531264007723707,0.05224738378594357,-0.011201693753374911,-0.0443600987908844,-0.03886698598737262,-0.07877679292780573,0.00233186123886842,0.05535964488728858,0.02097868997290753,0.046615706806310366,-0.04571456478007989,-0.03378961111947531,-0.0017498839966215622,0.05483945123702748,-0.011818573239026681,-0.007554105311834252,0.09020095186147903,0.02030432244514548,-0.09336526318352464,0.009129233825227552,-0.038505873829769596,-0.13249266219578062,-0.025389394790403665,0.15409669101812157,-0.05827202120809454,0.05876698198732658,-0.10403609546613696,-0.053622123500653554,0.09252097793289304,-0.04372798174721756,0.047983343865089574,-0.04941742866462464,0.02662866959613321,0.003192815634029839,0.015469380018515924,-0.01789660287834767,0.13630698257975962,6.15991593002668e-05,-0.09281836008843601,0.0189790607480157,0.0074398302078559275,-0.12250091086174,-0.0375922211378793,0.11854928183449563,0.006227594405828982,0.029877993582481464,0.00989612633094709,0.0003113329890923826,-0.04877761256440437,0.18401910302011168,-0.12483625444234601,0.0390550922923498,0.0010673746972574226,-0.002496780181538575,-0.0437051721022754
23,7,0.009332733980625776,0.729535132237662,17.872124117936213,0.1,0.01,eval,0.19254076510712162,-0.036031605712274525,0.08208013281821001,-0.06749288835095422,-0.06346359895332389,0.06301595588336573,-0.0714400346909068,0.042312671274306164,0.08998548261039399,-7.813022842751113e-05,-0.07217195662445751,-0.004871242939364112,-0.048269369639742876,0.001662437658299485,0.04080138866676789,0.013423271420873049,-0.19171380656139636,0.07039742997271307,0.11532691999461006,0.01648774393805385,-0.0821729719984391,-0.03223541495332809,-0.020668724021731717,0.4554978086735717,-0.0066439985590094515,-0.5079610158177165,0.08310323313013847,0.06531264007723707,0.05224738378594357,-0.011201693753374911,-0.0443600987908844,-0.03886698598737262,-0.07877679292780573,0.00233186123886842,0.05535964488728858,0.02097868997290753,0.046615706806310366,-0.04571456478007989,-0.03378961111947531,-0.0017498839966215622,0.05483945123702748,-0.011818573239026681,-0.007554105311834252,0.09020095186147903,0.02030432244514548,-0.09336526318352464,0.009129233825227552,-0.038505873829769596,-0.13249266219578062,-0.025389394790403665,0.15409669101812157,-0.05827202120809454,0.05876698198732658,-0.10403609546613696,-0.053622123500653554,0.09252097793289304,-0.04372798174721756,0.047983343865089574,-0.04941742866462464,0.02662866959613321,0.003192815634029839,0.015469380018515924,-0.01789660287834767,0.13630698257975962,6.15991593002668e-05,-0.09281836008843601,0.0189790607480157,0.0074398302078559275,-0.12250091086174,-0.0375922211378793,0.11854928183449563,0.006227594405828982,0.029877993582481464,0.00989612633094709,0.0003113329890923826,-0.04877761256440437,0.18401910302011168,-0.12483625444234601,0.0390550922923498,0.0010673746972574226,-0.002496780181538575,-0.0437051721022754
24,8,0.009386191214281492,0.7283302768224547,17.923236156140558,0.1,0.001,train,0.19286771573544154,-0.03730002717580889,0.0928937088500346,-0.07934324952263244,-0.07673873020676537,0.0782020352229569,-0.07208451399604117,0.04615289841618153,0.08975080630120258,0.000925291678078342,-0.0758269622869881,-0.0014437817133953097,-0.05900062143569275,0.0026993311602922293,0.05030681484333092,0.011218245584106803,-0.18961221328178415,0.06917948762037486,0.10899387549035261,0.01709266895737369,-0.07425307212844989,-0.03212740012731042,-0.021528246755964778,0.46260504163197047,-0.0057622196923349175,-0.5179673298919204,0.10268156417137193,0.06055489283012363,0.05535709622396148,-0.012327419826923952,-0.04618332733394251,-0.039865360418061525,-0.076658810674532,0.0016733072186285963,0.0526361065479693,0.020130776636294305,0.047002198189178605,-0.046675074255359376,-0.037301715217300836,-0.001893831122452196,0.05762383230724287,-0.01120215180379831,-0.005635863721992939,0.08766497608136431,0.018082031821949514,-0.0914935819531379,0.012231791244031447,-0.04005658608289945,-0.13014092330789542,-0.025577986153516773,0.15375887207537556,-0.05901916041235779,0.06078631806012665,-0.11142991193752666,-0.054706728880058265,0.09809949140050737,-0.04290821951858351,0.047272764718355925,-0.04810392030645299,0.027979202214427554,-0.00033079769329338204,0.017552035436899392,-0.01726762904785888,0.137453919926339,0.0009073272075816911,-0.0966415699580884,0.018347966558691968,0.007843634255068736,-0.11809943134417764,-0.034250894645652535,0.11624473125776812,0.0005328399090721678,0.003303210245608286,0.034003122433246616,0.02587125526356082,-0.06831204219100796,0.15988930882597865,-0.12125961506478587,0.04279583624015224,-0.0002137018737023258,-0.006747597958821357,-0.04321868133920766
